Codigo	Descricao	Descrição Inglês
	PORCA CURTA LT 1/4	
US-55235E	PORCA DA ALAVANCA DA FACA SUPERIOR	
	PORCA EIXO TRAÇÃO	
	PORCA M10	
	PORCA M12	
	PORCA M4	
	PORCA M4X6	
	PORCA M8	
	PORCA M8X19	
	PORCA MANGA EIXO - H55XM/H55FT	
	PORCA PARLOK 5X20	
	PORCA SEXT 1/4	
	PORCA SEXT 3/8	
	PORCA SEXT 3/8 X HU 9/16	
	PORCA SEXT 3/8XHU9/16	
	PORCA SEXT M4	
	PORCA SEXT M5	
	PORCA SEXT M8	
	PORCA SEXT. M8	
	PORCA SEXT.3/8XH4 9/16	
	PORCA SEXT.ZINCADA 1/4" (CH7/16)	
	PORCA SEXTAVADA	
	PORCA SEXTAVADA 1/4	
	PORCA SEXTAVADA 1/8	
	PORCA SEXTAVADA 3/16"	
	PORCA SEXTAVADA 3/8 ALTA (10MM)	
	PORCA SEXTAVADA M6	
	PORCA SEXTAVADA M8	
	PORCÃO 13"	
	PORCAS 19"	
11130452300	PORTA BOBINA (FIXA FINAL)	BOBBIN HOLDER (FIXED END)
11130463100	PORTA BOBINA DIANTEIRO	BOBBIN HOLDER DIA35
11640635000	PORTA BOBINA FRONTAL	BOBBIN HOLDER FRONT
	PORTA BRANCA LISA 090X210CM	
	PORTA CADEADO 50MMX19MM	
	PORTA ELETRODO C-1000 CARBOGRAFITE	
14010001	PORTA ETIQUETA BB 250X400X0,07	
14010011	PORTA ETIQUETA BB 25X37X70 MICRAS	
	PORTA PAPEL HIGIENICO ROLO MAZZO BRANCO	
	PORTA TOALHAS	
11406355000	PORTA-BOBINA FRENTE	BOBBIN HOLDER FRONT
12602910300	POST PLUG 1/4"	POST PLUG 1/4"
14275900020	POWER FREED I/O MOD X20 (X20-PS-3300)	POWER FREED I/O MOD X20 (X20-PS-3300)
21	PRANCHETA DURATEX	
	PRANCHETA DURATEX OF PREND METAL	
	PREGO	
	PREGO C/CABEÇA 2.1/2X10 18X27 1KG	
	PREGO C/CABEÇA 2X10 18X21 1KG	
17010004	PRENSA ENFARDADEIRA VERTICAL BALER M15KW	
17010005	PRENSA ENFARDADEIRA VERTICAL BALER M22KW	
11130857020	PRESSURE ADJUSTOR	
11130857020	PRESSURE ADJUSTOR 	PRESSURE ADJUSTOR 
11176901500	PRESSURE ROLLER S/ASSY -250FB	
11301351020	PRESSURE ROLLER SUB ASSY	
	PROGRAMADOR HOR 20A - BV - 16 PROG	
	PROGRAMADOR HOR DIG 20A BV 16 PROG ON/OFF	
	PROGRAMADOR HORA DIGITAL	
GBIT71-1985	PROLONGADOR DA BIELA DE TRAMA 9X5MM	WASHER
JYF-G30-45	PROLONGADOR ENGRENADO 14 DENT	GEARED EXTENSIONER
JYS-0474	PROLONGADOR ENGRENADO 23 Z	PROLONGADOR ENGRENADO 23 Z
	PROLONGADOR F BARRA ROSCADA MQ UNC 3/8X2 ZI JOMARCA	
5002405	PROTETOR AURICULAR	
	PROTETOR AURICULAR C/CORDÃO VD 3M	
	PROTETOR AURICULAR COPOLIMERO C.A	
	PROTETOR AURICULAR SILICONE	
5002405	PROTETOR FACIAL	
11982567000	PT 100 TEMP SENSOR WSS PROT TUBE MIDIA 10	PT 100 TEMP SENSOR WSS PROT TUBE MIDIA 10
14907000011	PT 100 TEMP. SENSOR FOR GODET DIA 127	
11422663000	PU COVER (STEP ROLLER) 20-01-01X3	PU COVER (STEP ROLLER) 20-01-01X3
11422665000	PU COVER FOR STEP ROLLER	PU COVER FOR STEP ROLLER
11130865900	PULLEY ADOPTER 	PULLEY ADOPTER 
11130874840	PULLEY ADOPTER D15	PULLEY ADOPTER D15
	PULSÃO 3/8	
	PULVERIZADOR 500ML	
10	PULVERIZADOR TRANSPARENTE 500ML	
	PURIFICADOR DE ÁGUA	
11158951600	PUSHER ROLLER ASMBD	
5003674	QUADRO DE AVISO	
11408100010	REAR BEARIG BLOCK-X	
11406385010	REAR BOBBIN HOLDER BASE	
	REBITADOR	
5003796	REBITE ALUMINIO 3,2X12	
5003797	REBITE ALUMINIO 4X16	
	REBITE DE REBUXO 3,2X12	
	REBITE DE REBUXO 4,0X16	
12602720000	RECT JN BOX G 3/8" G 1/4"	RECT JN BOX G 3/8" G 1/4"
	REDUÇÃO 10X8MM	
	REDUÇÃO 2/1" GALV	
	REDUÇÃO 3/4X1/2	
	REDUÇÃO 32MM	
	REDUÇÃO EXCENTRICA ESG. 150X100MM	
	REFIL AQUALAR AP230 ECONOMICO-3M	
5003985	REFIL PRA PINCEL ATOMICO AZUL	
	REFRESCO EM PÓ	
	REGADOR DE PLANTAS 10 LT AZUL	
	REGISTRO 1/2	
	REGISTRO 3/4	
	REGISTRO DE 1"	
	REGISTRO DE ESFERA 2''	
	REGISTRO DE ESFERA 3"	
	REGISTRO DE ESFERA PASSAGEM PLENA 3 GENEBRE	
	REGISTRO ESF VS COMPACTO SD 20MMX1/2"	
	REGISTRO ESFERA (F.RAP) METAL 2"	
	REGISTRO ESFERA 1/2	
	REGISTRO ESFERA LATÃO CROM 2"	
	REGISTRO ESFERA MONOBLOCO SOLD 20MM	
	REGISTRO GALV 2"	
	REGISTRO MONOBLOCO SD 32MM	
	REGISTRO SD 20MM	
	REGISTRO SD 25MM	
	REGISTRO SD 32MM	
	RÉGUA 30CM CRISTAL WALEU	
5003851	REGUA METAL 30CM	
	REGUA PLAST 30 CM LEO&LEO	
12606041040	REGULADOR DE AR G1/4 - 10BR-JN	AIR REGULATOR -G1/4-10BR-JN
12606001020	REGULADOR DE AR G1/4 - 4BR-JN	AIR REGULATOR -G1/4-4BR-JN
	REJUNTE BRANCO 1KG	
	REJUNTE EXTRA FINO BRANCO 1KG	
04.0380.02.220	RELE' 220 VOLT AC 2 CONTATOS 5 AMPER	RELE' 220 VOLT AC 2 CONTATTI 5 AMPER
17010270	RELE INTERMEDIARIO	INTERMEDIATE RELAY
14012006000	RELÉ INTERNO 6A	PLC INT RELAY 24VDC 1PTD 6A PHOENIX 
	RELE TERMICO 9-13A 1NA+1NF CLAS 10 LRD1	
11305268020	RELIEVER BLOCK	RELIEVER BLOCK
	REPARO CENTRALIZADOR	
	RESIST CARTUCHO C/200MM CABO C/ESPAGUETE	
	RESISTENCIA	
	RESISTÊNCIA	
	RESISTENCIA 220V CR03/26 3500W	
	RESISTENCIA BCS	
	RESISTENCIA TIPO FITA 10MMX1MM	
	RESPIRADOR SEMIFACIAL	
	RESPIRADOR SEMIFACIAL BORRACHA P/2 CARTUCHOS 3M	
	RETENTOR	
	RETENTOR 20X30X7	
	RETENTOR 25X35X7	
	RETENTOR 40X62X7	
	RETENTOR CONVERSOR TORQUE	
	RETENTOR CUBO GRANDE	
	RETENTOR CUBO PEQUENO	
	RETENTOR CUBO RODA	
	RETENTOR CUBO RODA DIANTEIRA EXTERNO	
	RETENTOR CUBO RODA DIANTEIRA INTERNO	
	RETENTOR EIXO TRAÇÃO (>)	
	RETENTOR EIXO TRAÇÃO (PQ)	
11130226700	RETENTOR FIXO	FIXED RETAINER - WOW
	RETENTOR MANGA EIXO (INFERIOR)	
11164019300	RETENTOR MOVEL	MOVABLE RETAINER - WOW
	RETENTOR TRASEIRO VIRABREQUIM VOLANTE MO	
	REVEST PING PONG PL2 AMARELO 50MM (ESP.2,6MM) 50M	
14067870400	REVOLVING LIGHT WITH BUZZER 24VAC/DC RED	REVOLVING LIGHT WITH BUZZER 24VAC/DC RED
	RIBBON CERA 110X300 M	
5001033	RIBBON CERA 110X74M	
	RIBBON CERA 110X74MTS	
12600050320	ROD END FOR DIA 25X32	ROD END FOR DIA 25X32
12600070041	ROD END SPHRCL EYE - JN APO12	ROD END SPHRCL EYE - JN APO12
11412940010	RODA BATENTE	STOPPER WHEEL R-6
11412940010	RODA BATENTE 	STOPPER WHEEL R-6
11401650000	RODA CONICA	CHONCHOID WHEEL R-6
11401650000	RODA CONICA 	CHONCHOID WHEEL R-6
11408150000	RODA DA LANÇADEIRA 52	SHUTTLE ROLLER 52-S
11158055310	RODA DE BATENTE	STOPPER WHEEL
11412936000	RODA DE BLOQUEIO P-M	STOPPER WHEEL P-M
11158392420	RODA DE CAME	CAM ROLLER FT
	RODA DE LIXA 25X20 180	
	RODA DE LIXA 50X25 100	
	RODA DE LIXA C/HASTE 25X20 GR180	
	RODA DE LIXA C/HASTE 25X20 GR180 VONDER	
	RODA DE LIXA C/HASTE 50X25 GR100	
	RODA DE LIXA C/HASTE 50X25 GR100 VONDER	
11412961000	RODA DE PRESSÃO M-65	PUSHER WHEEL M-65
11412935000	RODA DE TRANSPORTE	SHUTTLE WHEEL 
11401505000	RODA SONICA ASSY	CHONCHOID WHEEL ASSY (NALY)
	RODANA	
	RODIZIO GIRATORIO 50MM	
	RODIZIO PU GIRATORIO 4X1.1/2 300KG	
	RODIZIO PU LEVE GIRATORIO 4X1.1/2 GLPB 414 140KG	
	RODIZIO PVC GIRATORIO ESPIGAO GLE 612 6X1.1/4 85KG	
	RODIZIO QUADRUPLO 11/2" C/CHAPA STANLEY 150KG	
5001210	RODO 40 CM PLASTICO	
	RODO 40CM C/CABO	
	RODO 60CM C/CABO	
	ROLAMENTO	
5000641	ROLAMENTO 6000	
5003776	ROLAMENTO 6001	
	ROLAMENTO 6001 ZZ	
	ROLAMENTO 6002 ZZ	
	ROLAMENTO 6003	
	ROLAMENTO 6003 ZZ	
	ROLAMENTO 6004 ZZ	
	ROLAMENTO 6005 ZZ	
	ROLAMENTO 6006 ZZ C3	
	ROLAMENTO 6007	
	ROLAMENTO 6007 ZZ	
5003547	ROLAMENTO 6008 Z	
5003777	ROLAMENTO 6010 ZZ	
	ROLAMENTO 608 ZZ	
	ROLAMENTO 609	
	ROLAMENTO 609 2RS	
,	ROLAMENTO 609 ZZ C3	
	ROLAMENTO 6200 ZZ	
	ROLAMENTO 6201 ZZ	
	ROLAMENTO 6202	
	ROLAMENTO 6202 ZZ	
	ROLAMENTO 6203 ZZ	
	ROLAMENTO 6204 ZZ	
	ROLAMENTO 6205 ZZ	
	ROLAMENTO 6206	
	ROLAMENTO 6206 - 2RS	
	ROLAMENTO 6206 ZZ	
	ROLAMENTO 6207 ZZ	
	ROLAMENTO 6209	
	ROLAMENTO 6210	
	ROLAMENTO 6210 ZZ	
5003335	ROLAMENTO 6305 ZZ	
	ROLAMENTO 6306 ZZ	
	ROLAMENTO 6309	
	ROLAMENTO 6309 ZZ	
	ROLAMENTO CAPA CONE MANGA EIXO	
11131537500	ROLAMENTO DE FREIO	BRAKE BEARING
11406381000	ROLAMENTO DE FREIO R-6	BRAKE BEARING R-6
GB-289-84	ROLAMENTO DO BRECK	BEARING (4902)
GB276-82	ROLAMENTO DO PINO DO BLOCO	BEARING  
	ROLAMENTO FLANGEADO LMF25UU	
	ROLAMENTO HCH-ROLAMENTO 06770-609 ZZ	
	ROLAMENTO IND 6210 2Z	
5000641	ROLAMENTO INDUSTRIAL 6000 ZZ C3	
5003776	ROLAMENTO INDUSTRIAL 6001 ZZ	
JV11	ROLAMENTO OSCILANTE D 19	OSCILLATING BEARING
	ROLAMENTO P/ MANCAL UC 205	
5003546	ROLAMENTO P/ MANCAL UC 208	
	ROLAMENTO UC 205	
	ROLDANA	
11130515220	ROLLER CAP	
11158116630	ROLLER SPACER - N	
	ROLO AUXILIARES	
	ROLO DE ESPUMA 15CM	
11131467400	ROLO DE ESPUMA DE POLIURETANO	POLYURETHENE FOAM ROLLER
	ROLO DE LÂ	
	ROLO DE LÃ 5CM	
	ROLO DE LÃ 6MM	
	ROLO DE LÃ 9CM	
	ROLO DE LIXA 50X45,00MM	
11158951600	ROLO DE PRESSÃO ASMBD	PUSHER ROLLER ASMBD
11301351020	ROLO DE PRESSÃO COMPLETO	PRESSURE ROLLER SUB ASSY
11176901500	ROLO DE PRESSÃO S/CONJUNTO	PRESSURE ROLLER S/ASSY -250FB
11301194020	ROLO DE TORRE EXCÊNTRICO	ECCENTRIC TURRET ROLLER S/ASSY 
11301193020	ROLO DE TORRE S/CONJUNTO	TURRET ROLLER S/ASSY 
11157926400	ROLO GUIA S/CONJ.	GUIDE ROLLER S/ASSY
11157926300	ROLO GUIA V S/CONJ.	V GUIDE ROLLER S/ASSY
	ROLO LÃ DE CARNEIRO 9CM	
	ROLO LA SINT TIGRE 9CM	
	ROLO LAN CARN 9CM TAM-5LA	
	ROLO LIXA KA169 GR60 50MMX50MTS	
	ROLO P/PINTURA 23CM	
12470310269	ROUD BELT SR (OPTI BELT) DIA8X1220 L	
12490151003	RUBBER NYLON BELT AR2 ENDLESS 2805X50X2	RUBBER NYLON BELT AR2 ENDLESS 2805X50X2
12490151001	RUBBER NYLON BELT AR2 ENDLESS 2X50X2980	RUBBER NYLON BELT AR2 ENDLESS 2X50X2980
12490151002	RUBBER NYLON BELT AR2 OPEN 4365X50X2	RUBBER NYLON BELT AR2 OPEN 4365X50X2
11157909810	S/ASSY TAPE SHIFTING LINK	S/ASSY TAPE SHIFTING LINK
	SABÃO EM PÓ 400G	
5003580	SABÃO EM PÓ 500GR	
	SABÃO EM PÓ ESPUMIL FLORES 400G	
	SABONETE LIQ LIMPAE 5L	
	SABONETE LIQUIDO 5L	
	SABONETE LIQUIDO 5LT	
5001214	SABONETE LIQUIDO BB  5LT	
5001214	SABONETE LIQUIDO BB 5LT	
	SABONETE LIQUIDO LIMPAE 5L - PERFUME	
	SABONETE LIQUIDO MORANGO 5L	
	SABONETE LIQUIDO MORANGO 5LT	
	SABONETEIRA	
	SABONETEIRA ALUMINIO STYLO 1550	
	SABONETEIRA PAREDE INOX R200	
5003343	SACO DE LIXO 100LT	
5003343	SACO DE LIXO 100LT PCT C/5	
5003581	SACO DE LIXO 200LT	
5003581	SACO DE LIXO 200LT PCT C/5	
8	SACO DE LIXO 300LT PCT C/10	
8	SACO DE LIXO 300LT PCT C/5	
5003341	SACO DE LIXO 30LT PCT C/10	
5003342	SACO DE LIXO 50LT PCT C/10	
	SACO P/LIXO 100L C/05	
	SACO P/LIXO 100LT C/05	
	SACO P/LIXO 200L C/05	
	SACO P/LIXO 200LT C/05	
	SACO P/LIXO 300L REFORÇADO-PCT C/10	
	SACO P/LIXO 300LT C/10	
	SACO P/LIXO 50L C/10	
	SACO P/LIXO 50LT C/10	
	SACO P/LIXO PRETO 100L	
	SACO P/LIXO PRETO 200L	
	SACO P/LIXO PRETO 50L	
46	SACO PLAST. 40X60X0,03	
	SAPATA FREIO (02 PC)	
	SARDINHA EM CONSERVA	
12470150103	SCREW 22653L-8	SCREW 22653L-8
12470150118	SCREW 22839	SCREW 22839
12470150254	SCREW 402	SCREW 402
12470150116	SCREW 80	SCREW 80
12470150054	SCREW 84	SCREW 84
12470150107	SCREW 86X	SCREW 86X
12470150194	SCREW 87U	SCREW 87U
12470150003	SCREW 89	SCREW 89
12470150074	SCREW 91D	SCREW 91D
19023201	SEALING WASHER (DIE SIDE)	SEALING WASHER (DIE SIDE)
19023201	SEALING WASHER D25MM	SEALING WASHER D25MM
19023201	SEALING WASHER D42	SEALING WASHER D42
16000001	SEC CAT	
11303541000	SEGUIDOR DE CÂMERA	CAM FOLLOWER 
	SELANTE PREGA FACIL 85GR TEK BOND	
	SELETA DE LEGUMES 200G	
11305292000	SELF PICKING TG D7 2 - CR	SELF PICKING TG D7 2 - CR
5003328	SELO MECANICO INPA C/3/4 MOLA CURTA	
	SENSOR	
11147150017	SENSOR ANALOGICO COM CONEXÃO MOLEX	ANALOG SENSOR WITH MOLEX CONN
11127099310	SENSOR ANALOGICO COM MOLEX CONN	ANALOG SENSOR WITH MOLEX CONN
11302052000	SENSOR CAM AUTOWINDER WITH TAP	SENSOR CAM AUTOWINDER WITH TAP
17010165	SENSOR DE GUIA DE FITA LOFIL 40/NG AW	TAPE GUIDE SENSOR LOFIL 40/NG AW 
14470200005	SENSOR DE TEMP. COM BABINE 3W ARRUELA	TEMP SENSOR W CAB PT100 3W WASHER 25/16
14470200002	SENSOR DE TEMPERATURA CABO 3MM 3FIOS	TEMP SENSOR W 3M CABLE PT100 3WIRE
	SENSOR DE TEMPERATURA PT 100 3 FIOS B.P C/3MT DE CABO	
14907000011	SENSOR DE TEMPERATURA PT100 127	PT 100 TEMP. SENSOR FOR GODET DIA 127
	SENSOR FIM DE CURSO	
	SENSOR FOTO ELETRICO HX 18-16-E1	
14460001004	SENSOR FOTOELÉTRICO PNP NORMALMENTE ABERTO (NA) 24 VCC M8	PHOTOELECT SENSOR PNP NO 24 VDC M8
14421011002	SENSOR MAGNETICO	MAGNETIC SENSOR NPN NO M12
14493090003	SENSOR PNP O 24VDC 	SENSOR PNP O 24VDC 
14409991000	SENSOR SHIELDED CABLE 9MT	SENSOR SHIELDED CABLE 9MT
	SENSOR TERMOPAR	
11158027210	SEPARADOR DE COMPENSAÇÃO	COMPENSATIO SEPARATOR
JYF-E30-12	SEPARADOR DE FITA 10X27	UP RIBBON HOLDER
11402950000	SEPARADOR DO COMPENSADOR SUPERIOR	COMPENSATOR SEPARATOR UPPER - D
12470040008	SEPARATOR ROLL DIA 50X150	SEPARATOR ROLL DIA 50X150
	SERRA MANUAL 12"	
	SERRILHA CABEÇOTE	
	SERRILHA GK-8 1609	
11155277502	SERVOSTAR BKE - 115 - 45	SERVOSTAR BKE - 115 - 45
14650620101	SFTP PATCH CORD CAT6 4X2C 1M STRG GRAY 	SFTP PATCH CORD CAT6 4X2C 1M STRG GRAY 
14650620401	SFTP PATCH CORD CAT6 4X2C 4M STRG GRAY 	SFTP PATCH CORD CAT6 4X2C 4M STRG GRAY 
11406377020	SHUTTLE GUIDE R-6	
	SHUTTLE ROLLER	
11408150000	SHUTTLE ROLLER 52-S	
11405368000	SHUTTLE SKID-G (I)	SHUTTLE SKID-G (I)
11405369000	SHUTTLE SKID-G ®	SHUTTLE SKID-G ®
11412935000	SHUTTLE WHEEL	
11158964600	SHUTTLE WHEEL ASSEMBLY	
11401679000	SHUTTLE WHEEL ASSY	
11412932000	SHUTTLE WHEEL NS	
	SIFÃO AJUST MULTIUSO 66CM BRANCO	
	SIFÃO DUPLO SANFONADO UNIVERSAL	
	SIFÃO TUBO 70CM	
	SILICONE ACTETICO	
	SILICONE DE ALTA TEMPERATURA	
	SILICONE LOCTITE 598 ULTRA BLACK PRET	
	SILICONE LOCTITE SI 598 ULTRA BLACK PRET	
	SINALIZADOR ENTRADA/SAIDA 110V/220V LED SONORO 6973	
	SIRENE MARCHA-RÉ BIVOLT 12/24V	
11304635000	SLEDGE	
11130814620	SLEEVE BACK	SLEEVE BACK
15410110100	SMPS 230VAC 15VDC 100W PANEL DIN-RAIL	SMPS 230VAC 15VDC 100W PANEL DIN-RAIL
15410120100	SMPS 230VAC 24V 150W DIN-FAIL	SMPS 230VAC 24V 150W DIN-FAIL
15410120100	SMPS 230VAC 24VDC 150W PANEL DIN-RAIL	
15410110000	SMPS 230VAC 24VDC 72W DIN RAIL	SMPS 230VAC 24VDC 72W DIN RAIL
12191405030	SOC HD SHOUIDER SCREW M5X30 12.9 BLK	
14011991000	SOCKET 3 POLE FOR CTRL RELAY PT78730	SOCKET 3 POLE FOR CTRL RELAY PT78730
14721010161	SOCKET FEMALE ROUND 3P/PIN 16A	SOCKET FEMALE ROUND 3P/PIN 16A
14721000200	SOCKET ROUND 2 POLE 20A	SOCKET ROUND 2 POLE 20A
12603274050	SOL VALVE 1/2 - 5/3 24VAC	SOL VALVE 1/2 - 5/3 24VAC
366	SOLA DO CALCADOR 43130	
	SOLDA ESTANHO	
	SOLDA FOSCOPER HARRIS SUPER 2,4MMX460MM	
12609500779	SOLE VALVE VUVS-LK25-M32C-AD-G14-1B2-S	SOLE VALVE VUVS-LK25-M32C-AD-G14-1B2-S
11147251620	SOLENOID 3/2 DEVIDAMENTE CRIMPADO	SOLENOID 3/2 DULLY CRIMPED SMC - BABY AU
	SOQ HEX ENC 1/2X6MM TR LONG	
	SOQUETE 1/2X6MM	
	SOQUETE 3/8" X 65MM ELITE	
	SOQUETE 5/16" X 65MM	
	SOQUETE BIT ALLEN LONGO 1/2 - 6MM	
	SOQUETE MAGNETICO 3/8	
	SOQUETE MAGNETICO 5/16	
	SOQUETE SEXTAVADO 14MM	
11158289000	SPACER	
11130464100	SPACER PUSHER ROLLER	SPACER PUSHER ROLLER
11158026900	SPACING SEGMENT	SPACING SEGMENT
11408046000	SPECIAL BOLT	SPECIAL BOLT
11158465600	SPECIAL WASHER - A	SPECIAL WASHER - A
11158378600	SPECIAL WASHER - M6	SPECIAL WASHER - M6
11304605010	SPINDLE MOTOR SHAT WITH ROTOR	
11147250436	SPLINDER INVERSOR LS20 PROGRAMADO	POWER CABLE SW TO CBM 
	SPLIT BOLT 50MM	
	SPLIT BOLT 95MM	
	SPRAY WD-40 300ML	
11124030430	SPRING D 0,5	
11406442000	SPRING FOR STRETCHER	
11158056400	SPRING HOLDER	SPRING HOLDER
	SPROCKET 13 DENT	
	SPROCKET 13 DENTE	
	SPROCKET 13 DENTES	
11130417520	SPROCKET 13T	
11130490300	SPROCKET 16T	16-TOOTH SPROCKET
11130474420	SPROCKET 20T	23-TOOTH SPROCKET
11131012200	SPROCKET 23T	
11130455100	SPROCKET 37T	
11407103000	SPROCKET 41T	
	SPROCKET TEETH	
12601180805	SQUAR NMAG CYL WITH FRONT-TRAUNNION 80X50	SQUAR NMAG CYL WITH FRONT-TRAUNNION 80X50
12601050400	SQUARE NMAG CYL DIA 40X200 JN 	SQUARE NMAG CYL DIA 40X200 JN 
11130812110	SQUARE WASHER	
11130877200	SQUARE WASHER FOR TG	SQUARE WASHER FOR TG
14003505003	SSR ON/OFF 1P L/P;10-32VDC 50A ZEROCROSS	SSR ON/OFF 1P l/P;10-32VDC 50A ZEROCROSS
14003505002	SSR ON/OFF 1P PEAK FIRING 4-32VDC 50A	SSR ON/OFF 1P PEAK FIRING 4-32VDC 50A
11209933000	STALTIONARY KNIFE	STALTIONARY KNIFE
	STANTEX LA 350	
	STANTEX S 3181	
12601101001	STD NMAG CYL WITH MILLE VIS 100X300XJN 	STD NMAG CYL WITH MILLE VIS 100X300XJN 
	STEP 220V TRIFASICO	
11135452320	STEP ROLLER - HAIF	STEP ROLLER - HAIF
11158964800	STOPPER ROLLER NEW ASSY	STOPPER ROLLER NEW ASSY
11158951700	STOPPER WHEEL ASMB	STOPPER WHEEL ASMB
11158956600	STOPPER WHEEL ASSY (SHUTTLE)	STOPPER WHEEL ASSY (SHUTTLE)
11401651000	STOPPER WHEEL ASSY R-6	
11412936000	STOPPER WHEEL P-M	
11412940010	STOPPER WHEEL R-6	
14650662200	STP CABLE/PATCH CORD SH 8 C 0.22 SQ MM	STP CABLE/PATCH CORD SH 8 C 0.22 SQ MM
1000294	STRECH	
11147400640	STRIP HEATER 240V 250W L285 W40,5	STRIP HEATER 240V 250W L285 W40,5
11406021000	STUD-140	STUD-140
191	SUPORTE 56180B	
	SUPORTE ABS P/5 PASTA A4 CINZA	
	SUPORTE COMPLETO DO EXCENTRICO DO AUXILIAR	
JYF-J30-101	SUPORTE DA PALHETA	
JYF-J30-02	SUPORTE DA VARETA DO AUXILIAR	SUPPORT
11130557900	SUPORTE DE  ALAVANCA	LEVER HOLDER
	SUPORTE DE AGULHA	
JYF-F30-09/2	SUPORTE DE AGULHA COMPLETO 10X27	
JYF-F30-09/1	SUPORTE DE AGULHA COMPLETO 4X80	45º LATCH NEEDLE CLAMP
11157094300	SUPORTE DE ALAVANCA	LEVER HOLDER 
	SUPORTE DE ALAVANCA-XR	
11406356000	SUPORTE DE BOBINA TRASEIRO	BOBBIN HOLDER REAR
5003346	SUPORTE DE EXTINTOR	
11408091010	SUPORTE DE GUIA DE TRAMA FRONTAL	WEFT GUIDE HOLDER FRONT-XR
11408088000	SUPORTE DE GUIA DE TRAMA TRASEIRO	WEFT GUIDE HOLDER REAR-XR
11412737000	SUPORTE DE LANÇA	BOOM HOLDER
11158044100	SUPORTE DE LANÇA WR-S	BOOM HOLDER WR-S
11158056500	SUPORTE DE MOLA	SPRING HOLDER
JKV-0361	SUPORTE DE NYLON DA MOLA	NYLON SPRING SUPPORT
JYF-C30-17	SUPORTE DE NYLON DO QUADRO	NYLON FRAME SUPPORT
11305552000	SUPORTE DE ROLO DE PRESSÃO EXTERNO	PRESS. ROLLER SUPPORT OUTER(MACHINING)
11157027400	SUPORTE DE ROLO DE PRESSÃO INTERNO	PRESSURE ROLLER SUPPORT INNER
	SUPORTE DO DISCO GAIOLA FX6	
1051	SUPORTE DO LOOPER 29192V	
JYF-E110-06	SUPORTE DO TRAMADOR	HOLDER NEEDLE
JYF-E30-06	SUPORTE DO TRAMADOR 10X27	HOLDER NEEDLE
19-JYF	SUPORTE DO TRAMADOR 4X80	SUPORTE DO TRAMADOR 4X80
30.0078.0010.00	SUPORTE LEVE P/TUBOS E PIQUETES P/BARRAS REDONDAS	LIGHT SUPPORT FOR TUBES AND PIKERS 
11401685020	SUPORTE MAGNETICO COMPLETO	MAGNET HOLDER ASSY R-6
	SUPORTE MAGNÉTICO COMPLETO	
14961000001	SURGE PROTECTOR FOR DC DS220S-24DC	SURGE PROTECTOR FOR DC DS220S-24DC
16010064	SVC  07790 LOCACAO ,SUBLOCACAO , ARRENDAMENTO	
16010024	SVC  TRANSPORTE COMPRA USO E CONSUMO COM	
16010049	SVC 01.01 ANALISE E DESENVOLVIMENTO DE SISTEMAS	
16010035	SVC 01.05 LICENCIAMENTO DE USO DE PROGRAMAS	
16010040	SVC 01.06 ASSESSORIA E CONSULTORIA EM INFORMATICA	
16010045	SVC 01.07 SUPORTE TECNICO, MANUTENCAO E OUTROS SVC TECNOLOGI	
16010054	SVC 04.03  HOSPITAIS, CLÍNICAS, LABORATÓRIOS, SANATÓRIOS	
16010055	SVC 04.08 TERAPIA OCUPACIONAL, FISIOTERAPIA E FONOAUDIOLOGIA	
16010032	SVC 04.16 PSICOLOGIA	
16010072	SVC 04.23 OUTROS PLANOS DE SAUDE	
16010069	SVC 07.02 EXECUCAO POR EMPREITADA OU SUB EMPREITADA	
16010053	SVC 07.09 VARRIÇÃO, COLETA, REMOÇÃO, INCINERAÇÃO, TRATAMENTO	
16010044	SVC 07.10 LIMPEZA, MANUTENCAO E CONSERVACAO DE IMOVEIS, CHAM	
16010086	SVC 08.02 INSTRUÇÃO, TREINAMENTO	
16010011	SVC 09.01 HOSPEDAGEM	
16010079	SVC 09.02 AGENCIAMENTO PROMOCAO PASSEIOS VIAGENS	
16010048	SVC 10.06 AGENCIAMENTO MARITIMO	
16010006	SVC 10.09 REPRESENTAÇÃO COMERCIAL, COMISSAO	
16010001	SVC 11.02 VIGILANCIA E MONITORAMENTO	
16010047	SVC 11.04 ARMAZENAMENTO DEPOSITO CARGA E DESCARGA	
16010080	SVC 13.04 REPROGRAFIA, MICROFILMAGEM E DIGITALIZACAO	
16010056	SVC 13.05 COMPOSIÇÃO GRÁFICA, FOTOCOMPOSIÇÃO, CLICHERIA	
16010013	SVC 14.01 MANUTENCAO E CONSERVACAO DE MAQUINAS	
16010059	SVC 14.02 ASSISTENCIA TECNICA	
16010061	SVC 14.03 RECONDIIONAMENTO DE MOTORES	
16010050	SVC 14.04 RECAUCHUTAGEM OU REGENERAÇÃO DE PNEUS	
16010074	SVC 14.05 PRESTACAO DE SERVICO RECUPERACAO E RECICLAGEM	
16010052	SVC 14.06 INSTALACAO E MONTAGEM DE APARELHOS, MAQUINAS	
16010065	SVC 14.09 ALFAIATARIA E COSTURA	
16010077	SVC 14.10 TINTURARIA E LAVANDERIA	
16010062	SVC 14.11 TAPEÇARIA E REFORMA DE ESTOFAMENTOS EM GERAL	
16010070	SVC 14.13 CARPINTARIA E SERRALHERIA	
16010078	SVC 14.14.01 GUINCHO INTRAMUNICIPAL	
