Codigo	Descricao	Descrição Inglês
	BRAÇO DIREÇÃO	
JYF-E30-07	BRAÇO DO TRAMADOR 10X27	WEFT NEEDLE LEVER 
11305268000	BRAKE	
11130854590	BRAKE PLATE	BRAKE PLATE
11133047200	BRASS REDUCER	BRASS REDUCER
11176104410	BREAKER	BREAKER
	BROCA 3MM	
	BROCA AÇO RAPAIDO 2,5MM	
	BROCA AÇO RAPAIDO 3,5MM	
	BROCA AÇO RAPIDO 10MM	
	BROCA AÇO RAPIDO 12MM	
	BROCA AÇO RÁPIDO 14,00X160MM	
	BROCA AÇO RAPIDO 16MM	
	BROCA AÇO RÁPIDO 2,50X57MM	
	BROCA AÇO RÁPIDO 3,00X61MM	
	BROCA AÇO RAPIDO 3MM	
	BROCA AÇO RÁPIDO 4,00X75MM	
	BROCA AÇO RAPIDO 4MM	
	BROCA AÇO RÁPIDO 5,00X86MM	
	BROCA AÇO RAPIDO 5MM	
	BROCA AÇO RÁPIDO 6,00X93MM	
	BROCA AÇO RAPIDO 6MM	
	BROCA AÇO RÁPIDO 8,00X117MM	
	BROCA AÇO RAPIDO 8MM	
	BROCA AÇO RÁPIDO HTOM 10,00MM	
	BROCA AÇO RÁPIDO HTOM 12,00MM	
	BROCA AÇO RÁPIDO HTOM 3,50MM	
	BROCA ANSI JOBBER-AÇO RÁPIDO 2,5MM 00	
	BROCA DE AÇO RÁPIDO 12	
	BROCA DE AÇO RAPIDO 16,00X178MM DIN338 HT	
	BROCA DE AÇO RAPIDO 8,90MM TWILL	
	BROCA DE AÇO RAPIDO 9,00X125MM TW104 DIN338 TWILL	
	BROCA DE MIDIA 8MM	
	BROCA METALICA 10MM	
	BROCA METALICA 14MM	
	BROCA METALICA 3,5MM	
	BROCA METALICA 3MM	
	BROCA METALICA 5MM	
	BROCA METALICA 6MM	
	BROCA P/CONCRETO 10MM	
	BROCA P/MARTELETES 10MM	
	BROCA P/MARTELETES 18MM	
	BROCA P/MARTELETES 20MM	
	BROCA P/MARTELETES 25MM	
	BROCA P/MARTELETES 6MM	
GK8-10-20-7-1	BUCHA -	
GK8-10-20-7-1	BUCHA - 	
	BUCHA - 10-20-6	
3269	BUCHA 10-20-2-2	
2275	BUCHA 10-20-4-1	
3863	BUCHA 10-20-4-2	
5842	BUCHA 10-20-8	
5002439	BUCHA 6MM	
	BUCHA 8MM	
JYF-G30-30-17-1	BUCHA DA CATRACA	GEAR
11131535620	BUCHA DA MOLA ALAVANCA	
	BUCHA DA MOLA DO AUXILIAR	
	BUCHA DE BRONZE	
JYF - 0764	BUCHA DE BRONZE DA LEVA C/PARAFUSO	BRONZE CAM BUSHING WITH SCREW
	BUCHA DE BRONZE DA LEVA COM PARAFUSO	
	BUCHA DE RED GALV. 1.1/2X3/4	
	BUCHA DE REDUÇÃO 3/4-1/2	
	BUCHA DE REDUÇÃO FG 4X2	
	BUCHA DO EIXO DO BRACO DA AGULHA	
JYF-F30-07	BUCHA DO EIXO DO BRAÇO DA AGULHA	
11130870630	BUCHA FLANGEADA (PINO LONGO)	FLANGED BUSH (LONG PIN)
4274	BUCHA GK8 10-20-3	
3865	BUCHA GK8 10-20-4-3	
2276	BUCHA INFERIOR 10-20-5	
12491300600	BUCHA LISA	PLAIN BUSH DIA6X DIA12X12
	BUCHA NYLON COM ABA S-6	
5002863	BUCHA NYLON S-10	
	BUCHA NYLON S-12	
5002439	BUCHA NYLON S-6	
5002635	BUCHA NYLON S-8	
11131512210	BUCHA P/ MOLA	BUSH FOR SPRING
11130510800	BUCHA PARA MOLA	BUSH FOR SPRING
12491304000	BUCHA PLANA	PLAIN BUSH DIA40X44X50
	BUCHA PVC SD RED CT 25X20MM	
	BUCHA PVC SD RED LG 32X20MM	
	BUCHA PVC SD RED. LG 32X220MM	
	BUCHA REDUÇÃO GALV 1X1/2	
	BUCHA/PARAFUSO 6MM	
14263600020	BUS MOD X2X LEFT ISOLATED W NODE NO.(X20-BM-11)	BUS MOD X2X LEFT ISOLATED W NODE No.(X20-BM-11)
